FuelType,TotalFuelConsumption,NetGeneration
Petroleum,0,0
Petroleum,0,84
Petroleum,449,203
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,"38,925","13,480"
Petroleum,"53,950","28,716"
Petroleum,9,4
Petroleum,0,0
Petroleum,0,0
Petroleum,332,116
Petroleum,"1,733",921
Petroleum,54,16
Petroleum,"1,736",925
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,"1,457",598
Petroleum,40,17
Petroleum,0,0
Petroleum,0,0
Geothermal,0,"4,681,475"
Geothermal,0,"299,430"
Geothermal,0,"471,127"
Geothermal,0,"431,927"
Geothermal,0,"595,970"
Geothermal,0,"576,508"
Geothermal,0,"507,285"
Geothermal,0,"493,338"
Geothermal,0,"253,267"
Geothermal,0,"34,694"
Geothermal,0,"380,504"
Geothermal,0,"4,297,311"
Hydro,"191,794","131,112"
Hydro,0,"453,138"
Hydro,0,"207,694"
Hydro,0,"271,520"
Hydro,0,"439,571"
Hydro,0,"426,626"
Hydro,0,"581,194"
Hydro,0,"289,884"
Hydro,0,"404,554"
Hydro,0,"691,879"
Hydro,0,"418,199"
Hydro,0,"422,038"
Hydro,0,"306,562"
Hydro,0,"403,387"
Hydro,0,"431,600"
Hydro,0,"648,568"
Hydro,0,"385,825"
Hydro,0,"325,437"
Hydro,0,"541,866"
Hydro,0,"656,025"
Hydro,0,"348,059"
Hydro,0,"438,890"
Hydro,0,0
Hydro,"343,432","465,360"
Hydro,0,"192,874"
Hydro,0,"488,099"
Hydro,0,"299,481"
Hydro,0,"453,027"
Hydro,0,"76,549"
Hydro,0,"459,634"
Hydro,0,"554,785"
Hydro,0,"1,258,667"
Hydro,10,0
Hydro,0,"174,264"
Hydro,992,0
Hydro,0,"259,069"
Hydro,0,"474,268"
Hydro,0,"180,900"
Hydro,0,"344,875"
Hydro,0,"1,435,030"
Hydro,"58,111","5,936"
Hydro,0,"437,136"
Hydro,"246,940","-214,142"
Hydro,0,"220,037"
Hydro,0,"247,730"
Hydro,0,"886,253"
Hydro,0,"399,664"
Hydro,"633,935","-243,813"
Hydro,0,"351,490"
Hydro,0,"269,199"
Hydro,0,"81,409"
Hydro,0,"149,362"
Hydro,0,"414,601"
Hydro,0,"7,388,804"
Hydro,0,"1,117,362"
Hydro,0,0
Hydro,0,0
Petroleum,983,331
Petroleum,"27,564","10,934"
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Other,"122,679","96,849"
Other,"150,677","90,571"
Gas,"78,723","4,872"
Gas,"2,204,249","196,957"
Gas,"6,748,108","533,396"
Gas,"2,462,395","256,353"
Gas,0,0
Gas,0,0
Gas,"26,763,895","3,681,858"
Gas,"7,045,685","704,372"
Gas,"2,545,244","213,866"
Gas,"6,901,239","641,668"
Gas,"6,491",395
Gas,"9,464,240","731,262"
Gas,"6,821,437","590,991"
Gas,"18,575,235","1,718,183"
Gas,"18,563","18,573"
Gas,"776,239","42,064"
Gas,"28,305",783
Gas,"5,915,197","506,286"
Gas,"5,772,460","474,842"
Gas,"11,349,721","1,046,281"
Gas,"548,321","34,377"
Gas,"89,319","5,092"
Gas,"3,285,318","300,628"
Gas,"3,389,446","292,059"
Gas,"7,113,076","679,518"
Gas,"640,656","2,234,823"
Gas,"42,361,900","3,514,848"
Gas,0,"12,768"
Gas,"166,043","10,097"
Gas,"189,199","17,388"
Gas,"937,966","65,556"
Gas,0,"97,541"
Gas,"2,926,718","226,748"
Gas,"2,515,219","198,170"
Gas,"332,680","31,640"
Gas,"909,940","83,819"
Gas,"390,442","36,850"
Gas,"646,088","1,114,587"
Gas,"20,031,709","1,839,244"
Gas,"12,899,517","1,213,280"
Gas,"10,101,282","886,185"
Gas,"429,661","957,138"
Gas,"17,649,173","1,594,552"
Gas,"122,437","12,652"
Gas,"352,726","24,490"
Gas,"15,923","1,326"
Gas,"276,614","96,711"
Gas,"3,998,902","307,297"
Gas,"187,484","11,797"
Gas,"3,154",281
Gas,"48,803","2,415"
Gas,"188,367","12,305"
Gas,"301,502","20,749"
Gas,"292,148","19,850"
Gas,"255,956","17,636"
Gas,"300,006","24,152"
Gas,"299,824","23,718"
Gas,"779,490","55,560"
Gas,"781,364","57,300"
Gas,"14,711,681","1,230,538"
Gas,0,0
Gas,162,12
Gas,"32,048","1,644"
Gas,"114,741","2,909"
Gas,0,0
Gas,0,"32,880"
Gas,"1,839,468","143,865"
Gas,"3,665,929","177,561"
Gas,"25,066,882","2,133,081"
Gas,"2,125,708","168,657"
Gas,"24,260,112","2,274,454"
Gas,"511,513","81,335"
Gas,"177,183","18,473"
Gas,"168,591","9,503"
Gas,0,0
Gas,"10,756,504","868,164"
Gas,"21,770,276","1,908,797"
Gas,"710,156","62,971"
Gas,"7,906,231","682,429"
Gas,"2,800","799,576"
Gas,"17,365,019","1,515,881"
Gas,"43,377,681","6,339,567"
Gas,"1,694,683","1,392,942"
Gas,"22,247,929","2,188,309"
Gas,"438,140","1,146,561"
Gas,"23,550,013","2,211,623"
Gas,"168,732","450,758"
Gas,"9,825,825","955,671"
Gas,"254,848","1,771,732"
Gas,"35,758,745","3,241,545"
Gas,0,"288,821"
Gas,"5,568,565","502,825"
Gas,"165,347","1,017,909"
Gas,"18,678,756","1,760,788"
Gas,"624,537","1,280,521"
Gas,"21,163,879","2,172,372"
Gas,"901,395","1,565,514"
Gas,"28,105,564","2,699,766"
Gas,0,"1,762,889"
Gas,"33,433,089","3,216,818"
Gas,"7,488,103","1,110,335"
Gas,0,"1,178,863"
Gas,"23,690,543","2,257,460"
Gas,"357,030","1,250,385"
Gas,"22,324,078","2,046,428"
Gas,700,"619,316"
Gas,"11,109,500","1,004,326"
Gas,0,"617,291"
Gas,"11,688,236","906,487"
Gas,"213,973","262,472"
Gas,"5,561,090","471,294"
Gas,"7,875","795,092"
Gas,"17,216,383","1,645,864"
Gas,"1,536,922","161,087"
Gas,"313,455","840,959"
Gas,"21,109,284","1,942,654"
Gas,"10,526,342","1,084,209"
Gas,"7,897","1,160"
Gas,"966,975","81,845"
